Key.ctrl_l 	 at 10:38:20
Key.ctrl_l 	 at 10:38:20
Key.ctrl_l 	 at 10:38:20
'\x03' 	 at 10:38:20
Key.ctrl_l 	 at 10:38:21
'\x03' 	 at 10:38:21
'c' 	 at 10:38:22
Key.ctrl_l 	 at 10:38:22
'c' 	 at 10:38:23
Key.ctrl_l 	 at 10:38:23
'c' 	 at 10:38:24
Key.ctrl_l 	 at 10:38:24
'z' 	 at 10:38:35
Key.ctrl_l 	 at 10:38:35
'z' 	 at 10:38:36
Key.ctrl_l 	 at 10:38:36
Key.backspace 	 at 10:38:44
Key.ctrl_l 	 at 10:39:10
'\x03' 	 at 10:39:10
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:11
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:12
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
'\x03' 	 at 10:39:13
Key.ctrl_l 	 at 10:41:11
'\x03' 	 at 10:41:11
Key.esc 	 at 10:41:13
Key.ctrl_l	 at 10:42:42
'\x03'	 at 10:42:42
Key.ctrl_l	 at 10:42:43
'\x03'	 at 10:42:43
'c'	 at 10:42:44
Key.ctrl_l	 at 10:42:44
Key.ctrl_l	 at 10:42:44
Key.ctrl_l	 at 10:42:44
'\x03'	 at 10:42:44
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
'\x03'	 at 10:42:45
Key.backspace	 at 10:43:36
'a'	 at 10:43:37
Key.ctrl_l	 at 10:43:39
Key.ctrl_l	 at 10:43:39
Key.ctrl_l	 at 10:43:39
Key.ctrl_l	 at 10:43:39
Key.ctrl_l	 at 10:43:39
Key.ctrl_l	 at 10:43:39
Key.ctrl_l	 at 10:43:40
'\x13'	 at 10:43:40
Key.ctrl_l	 at 10:43:42
'\x03'	 at 10:43:43
Key.ctrl_l	 at 10:43:46
'\x1a'	 at 10:43:46
Key.ctrl_l	 at 10:43:46
'\x1a'	 at 10:43:46
'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
'\x1a'	 at 10:43:47
